TOTALLOAD,WIND,SOLAR
39824.07,0.16950928,0.0
38282.727,0.1513108,0.0
37195.42,0.13089176,0.0
37359.54,0.12717967,0.0
39402.55,0.12933017,0.0
41548.33,0.107376285,0.0
43602.77,0.16561283,0.0
44157.133,0.14550729,0.0
45173.76,0.19077487,0.34422618
46324.61,0.14461747,0.5291706
47663.465,0.14513612,0.6032995
49205.047,0.14901088,0.68999755
49803.758,0.115869336,0.6742209
50519.695,0.14021602,0.6463232
49281.45,0.14198889,0.6161667
48997.008,0.15578935,0.5868083
47877.508,0.11146937,0.50405496
48410.25,0.1398942,0.016949527
49233.58,0.12981787,0.0
48278.188,0.12912641,0.0
46611.016,0.11869752,0.0
44399.457,0.14963312,0.0
41922.82,0.16561836,0.0
39878.133,0.17823371,0.0
45492.176,0.24754705,0.0
44637.65,0.2387429,0.0
44450.875,0.24247815,0.0
44282.23,0.22792767,0.0
45422.55,0.21407357,0.0
47121.594,0.21409057,0.0
47942.332,0.21328947,0.0
47824.44,0.2095713,0.09217699
47868.516,0.21136934,0.3877446
49056.273,0.15337002,0.46453884
49377.582,0.18286373,0.4827518
49885.86,0.174218,0.5226339
49788.496,0.12828478,0.52751595
49454.184,0.087845296,0.5517506
50114.426,0.109210216,0.5391327
49790.65,0.10662708,0.45930248
49275.223,0.092483856,0.38487184
49851.586,0.08875436,0.0
50517.496,0.11494535,0.0
50622.08,0.14607833,0.0
49002.285,0.14868338,0.0
47547.727,0.17705101,0.0
45968.46,0.20440525,0.0
44541.223,0.14672424,0.0
35029.87,0.277863,0.0
34043.93,0.26350918,0.0
33414.086,0.24794336,0.0
33703.92,0.24584152,0.0
34207.37,0.21476369,0.0
35939.098,0.19968319,0.0
37758.688,0.19275293,0.0
38198.28,0.17618397,0.22527036
40306.28,0.21996209,0.5693381
40284.996,0.22479604,0.74881613
40110.508,0.19629544,0.8683163
40024.824,0.16882977,0.9398513
39518.305,0.17048304,1.0224175
39913.465,0.18177576,1.037551
40166.6,0.19483195,1.0855503
39880.94,0.14207593,1.1211898
39649.152,0.10641901,1.0999246
39524.625,0.16608664,1.0141331
40145.117,0.18847165,0.58821857
39713.008,0.16325267,0.08179001
38818.09,0.20414603,0.0
38180.156,0.25149632,0.0
36617.074,0.25745204,0.0
35051.78,0.26033455,0.0
41525.074,0.6579809,0.0
40673.29,0.6676717,0.0
39696.906,0.6746942,0.0
39941.895,0.663262,0.0
41052.914,0.67375606,0.0
43285.71,0.6700075,0.0
44562.297,0.6267384,0.0
46477.71,0.600659,0.0
47409.406,0.51342577,0.22804031
47376.375,0.53171474,0.538376
47033.965,0.535095,0.61652505
46418.82,0.4115469,0.74793756
44788.086,0.42285442,0.74764967
43729.832,0.35747492,0.77058375
43115.598,0.35854048,0.77441907
42755.758,0.46202403,0.716571
42808.688,0.4756784,0.60727847
43888.105,0.49180803,0.24593773
45199.996,0.44910055,0.0
46478.332,0.6076838,0.0
47225.29,0.71401626,0.0
46919.473,0.6537903,0.0
45503.03,0.7094507,0.0
44983.457,0.6661012,0.0
37372.832,0.30621696,0.0
37831.887,0.29742756,0.0
38115.17,0.29546633,0.0
39601.918,0.29368553,0.0
40858.164,0.19385451,0.0
45404.195,0.23206776,0.0
50638.066,0.29743692,0.0
50361.0,0.2580658,0.0
50333.105,0.31969705,0.24378179
47966.918,0.39271894,0.5095751
47104.92,0.31451178,0.57175887
45925.52,0.24945693,0.6359792
45273.746,0.18750808,0.7665595
45211.17,0.2596216,0.7469543
44654.555,0.29383183,0.73169637
44497.297,0.2888508,0.67584634
44863.05,0.22033708,0.69563437
45619.008,0.24739604,0.540195
48172.27,0.3520351,0.0084698945
48695.785,0.34918332,0.0
47776.348,0.42136523,0.0
45947.88,0.4374607,0.0
43831.47,0.51799613,0.0
40509.613,0.5341337,0.0
36820.62,0.2560254,0.0
35958.207,0.24376322,0.0
36830.105,0.2436855,0.0
37454.426,0.24317925,0.0
38352.344,0.21392952,0.0
39606.086,0.2087113,0.0
40466.633,0.16418909,0.0
42016.086,0.15114026,0.0
44101.92,0.30992398,0.14923555
43882.17,0.2778082,0.34360427
44729.434,0.28047535,0.42144927
45272.473,0.31728518,0.44006038
44469.66,0.29012114,0.47972023
43830.805,0.35553747,0.46663693
43524.273,0.39575627,0.5004475
43714.812,0.37064525,0.49714416
43927.32,0.34710285,0.3837982
44745.2,0.37804723,0.07831931
45175.152,0.30386806,0.0
46021.766,0.39924368,0.0
45476.766,0.44391158,0.0
43277.902,0.39090434,0.0
41156.58,0.34771767,0.0
38717.555,0.33408013,0.0
48590.2,0.4228903,0.0
46750.906,0.3912875,0.0
45597.344,0.35843837,0.0
45590.41,0.33102408,0.0
46282.652,0.28309458,0.0
46890.97,0.2552756,0.0
47907.27,0.23635834,0.06957414
51302.04,0.23138279,0.4327193
54749.133,0.2260208,0.6533586
58642.234,0.23809049,0.7483747
62807.258,0.23722006,0.7812569
65900.61,0.24553227,0.7883991
68455.68,0.24218182,0.7996186
69169.14,0.24853227,0.75745106
69851.625,0.2891359,0.7293396
69844.68,0.29432163,0.71136117
68873.02,0.29434618,0.6047255
68232.54,0.2545684,0.49685234
66201.28,0.2752208,0.25574034
63530.41,0.32190776,0.0
59872.06,0.3716021,0.0
56845.32,0.3823796,0.0
53378.875,0.42398518,0.0
49219.094,0.39244664,0.0
35694.836,0.3679149,0.0
34350.508,0.35357207,0.0
33067.68,0.330127,0.0
33408.71,0.33845502,0.0
34420.484,0.34313315,0.0
35340.14,0.30721483,0.0
36252.156,0.28682125,0.0
37192.508,0.30647483,0.14286456
38913.703,0.27045426,0.49754673
40847.523,0.3744612,0.6681764
41577.75,0.32880685,0.6959603
43490.5,0.36464152,0.74972224
43917.496,0.3836779,0.7484292
44365.484,0.28504348,0.7797097
44937.188,0.20915507,0.75530803
44757.87,0.21060564,0.6868969
45651.523,0.24633092,0.6219758
46615.965,0.30433393,0.20930786
47490.805,0.39307928,0.0
46626.418,0.45128527,0.0
45409.625,0.55192053,0.0
43472.742,0.5857188,0.0
41576.723,0.60135347,0.0
38859.457,0.4648442,0.0
49283.117,0.49438727,0.0
48035.508,0.48543218,0.0
46984.273,0.4704215,0.0
46383.64,0.42841476,0.0
46695.12,0.42399406,0.0
47122.19,0.3930965,0.0
49119.76,0.34561437,0.07999538
52885.945,0.29972613,0.45066604
56259.04,0.27120656,0.57779574
60565.86,0.28609478,0.65196323
63428.71,0.25817615,0.70635486
67219.41,0.2473212,0.6919912
70273.2,0.26953834,0.7046869
72352.625,0.3199673,0.7145674
73615.72,0.3668565,0.681453
74210.64,0.41896552,0.65955245
73460.55,0.43966362,0.60980666
71450.12,0.4825181,0.48421472
69430.73,0.5261496,0.13882595
67978.125,0.5369376,0.0
64596.656,0.5375778,0.0
60302.723,0.5447785,0.0
56520.477,0.5714861,0.0
53019.355,0.5466383,0.0
48986.98,0.2714594,0.0
46891.55,0.23844452,0.0
45468.27,0.2180961,0.0
45152.27,0.19471343,0.0
46119.082,0.17339604,0.0
47129.42,0.14912215,0.0
48441.445,0.11862712,0.1068916
52249.8,0.13326247,0.42929018
56090.695,0.11600714,0.65360427
61745.15,0.12773205,0.7626277
64767.79,0.13243079,0.8019103
67859.46,0.12938127,0.82074654
70583.664,0.13634454,0.8005153
72629.26,0.15068087,0.8109008
74035.06,0.18956928,0.76961565
74009.51,0.22022285,0.7207792
74787.28,0.24777275,0.71016467
72655.33,0.26516035,0.6159669
70694.875,0.2844027,0.4115441
69461.74,0.26293227,0.0015330762
65854.91,0.33798358,0.0
60675.08,0.41470176,0.0
56182.973,0.43035483,0.0
51881.91,0.49499038,0.0
34520.48,0.50862736,0.0
34332.34,0.51512355,0.0
35000.215,0.530771,0.0
36009.53,0.51764584,0.0
38105.297,0.56144494,0.0
39440.055,0.5079524,0.0
40329.473,0.45047167,0.0
41716.71,0.4096134,0.3123835
42916.434,0.39477965,0.56668425
44153.312,0.4199136,0.63951206
43621.555,0.4175408,0.6659925
43572.69,0.37455052,0.7211509
43661.426,0.36895487,0.7333398
44244.47,0.35517102,0.68041384
45093.91,0.39850536,0.61351144
44717.33,0.31578583,0.57446563
44890.926,0.29782355,0.34583986
45509.688,0.36553,0.0
45231.547,0.34703845,0.0
44369.51,0.3980539,0.0
42654.855,0.4224231,0.0
40518.145,0.37755707,0.0
38241.25,0.30469173,0.0
36867.926,0.30752298,0.0
35649.734,0.5431455,0.0
34255.87,0.53844076,0.0
33125.35,0.51489246,0.0
33852.164,0.50267106,0.0
35402.523,0.5183806,0.0
37983.902,0.5052251,0.0
40091.945,0.50172025,0.0
40371.45,0.44167966,0.099740274
41537.023,0.44047946,0.50201166
42562.78,0.37028795,0.5967094
44315.523,0.4562689,0.5894319
44870.305,0.32119188,0.63512516
45814.684,0.31291994,0.60400105
46689.586,0.19818999,0.5264621
46692.285,0.13606407,0.4684228
47407.52,0.111107394,0.32383338
48344.582,0.14859208,0.0
48565.77,0.15397644,0.0
48061.734,0.15283234,0.0
45432.715,0.16594079,0.0
43679.25,0.121697985,0.0
41728.555,0.13825497,0.0
39923.17,0.1396134,0.0
38919.67,0.1131711,0.0
39636.312,0.36129674,0.0
37777.273,0.33064476,0.0
36309.098,0.32022485,0.0
36259.77,0.3322909,0.0
36419.508,0.31894577,0.0
37374.54,0.2938654,0.0
37783.824,0.24009082,0.031491414
40128.766,0.23142229,0.5021368
42802.48,0.17941141,0.71439207
44446.184,0.17782247,0.7776586
47457.875,0.14673379,0.85720754
49265.44,0.14740594,0.944491
52452.883,0.13251655,1.0321307
52544.03,0.12556927,0.9629215
54718.594,0.14363156,0.98700666
57307.395,0.20708963,1.0127554
58517.086,0.23789176,0.92707443
57571.305,0.29748282,0.73349774
55844.758,0.288121,0.5160066
54770.996,0.334572,0.0
53000.06,0.46925452,0.0
49813.793,0.50739074,0.0
46000.617,0.51582664,0.0
42367.332,0.5121278,0.0
37649.938,0.5737641,0.0
35745.98,0.56488174,0.0
34858.066,0.5563775,0.0
35724.24,0.5620239,0.0
36970.91,0.48693442,0.0
38368.58,0.41437626,0.0
38994.99,0.33095682,0.06394676
40732.04,0.30221772,0.60491467
42555.918,0.32820642,0.7934462
44766.453,0.41384304,0.8459227
46387.105,0.41565558,0.8949373
47660.855,0.38372087,0.9009861
49585.62,0.36837918,0.9861753
50054.008,0.34880486,1.0006602
50633.168,0.35383034,0.90405726
50594.855,0.31601375,0.8451512
50138.992,0.32183075,0.69957983
48852.395,0.43290606,0.46248057
48258.168,0.529167,0.0
46999.35,0.5530386,0.0
45715.703,0.6459243,0.0
42986.18,0.6973164,0.0
39844.46,0.6624185,0.0
36631.305,0.62903714,0.0
40046.95,0.14863475,0.0
38778.867,0.1515922,0.0
38760.824,0.16018055,0.0
39716.914,0.15209936,0.0
42850.17,0.16268308,0.0
48184.387,0.21861522,0.0
51409.656,0.21176702,0.0
50504.08,0.16387916,0.11636357
48510.58,0.14204942,0.57851684
45901.242,0.17023896,0.81667185
44528.316,0.17751718,0.85418105
43882.84,0.20335767,0.9015069
43532.977,0.24859686,0.8326943
42191.555,0.19497956,0.89850795
40870.29,0.14391069,0.9165971
41315.695,0.2859071,0.85040784
41064.453,0.22118069,0.81268156
41572.824,0.13894475,0.45127967
43819.016,0.20432681,0.0
43439.676,0.12152903,0.0
42829.12,0.1316659,0.0
41565.836,0.25311524,0.0
40087.574,0.37495893,0.0
38293.766,0.41320333,0.0
51521.438,0.53555137,0.039657064
49513.43,0.514711,0.0
47691.848,0.502794,0.0
46540.633,0.49220496,0.0
46653.543,0.48515806,0.0
46453.547,0.4846877,0.04127445
47612.47,0.4483133,0.25940728
49750.684,0.39806217,0.49827883
53067.836,0.33073774,0.6971204
56147.06,0.2853956,0.8303329
60456.027,0.29893225,0.89347124
64256.5,0.23906328,0.9385954
68392.2,0.19429833,1.0177376
71000.13,0.1957721,0.993237
73034.42,0.22591707,0.907061
75153.66,0.2471346,0.8651525
76443.11,0.24573536,0.8809726
75548.49,0.2681251,0.8071102
74059.4,0.294305,0.44124606
71850.39,0.37494263,0.038855948
67573.49,0.36066875,0.0
62923.152,0.37790763,0.0
58472.805,0.45055422,0.0
54407.668,0.47954682,0.0
34723.066,0.5396575,0.0
34015.777,0.51808465,0.0
33975.234,0.5005019,0.0
34428.43,0.50783473,0.0
34650.637,0.46203175,0.0
36215.008,0.4087476,0.0
36980.316,0.42137226,0.0
