HOUR,TOTALLOAD,WIND,SOLAR
0.0,0.731003143466,0.219527582668,0.0
1.0,0.60411082691,0.234742092907,0.0
2.0,0.676811909592,0.210384673077,0.0
3.0,0.730962606651,0.244505909996,0.0
4.0,0.866123035654,0.239184359045,0.0
5.0,0.884605130284,0.207763141675,0.0
6.0,1.02444006307,0.194348051157,0.0
7.0,1.39236522324,0.176952504477,0.000671390417638
8.0,1.22026657669,0.168631105674,0.0762274729663
9.0,1.46232269702,0.154654944794,0.121530724078
10.0,1.38336746166,0.153471136621,0.236907730959
11.0,1.1706817938,0.130259507201,0.349313648798
12.0,0.881860498583,0.11937956262,0.493861819916
13.0,0.774376096164,0.108397854602,0.589901944103
14.0,0.975798464072,0.09949306785,0.562972813406
15.0,0.769210053658,0.109859247049,0.539209980258
16.0,1.03583187947,0.0891753316541,0.343843005827
17.0,1.25660159867,0.0834094679371,0.0847148041869
18.0,1.12759157138,0.110408309234,0.0
19.0,1.24811559323,0.122435266179,0.0
20.0,1.40287068889,0.11595824065,0.0
21.0,1.45452815281,0.155273504429,0.0
22.0,1.10463132706,0.184142971627,0.0
23.0,1.00407003992,0.20314454934,0.0
24.0,0.846296110364,0.178647969416,0.0
25.0,0.807833084321,0.170107718895,0.0
26.0,0.674719950019,0.156660527622,0.0
27.0,0.676582565533,0.121284720963,0.0
28.0,0.914894427037,0.0920316904815,0.0
29.0,1.02812739685,0.0746295300357,0.0
30.0,1.24761378247,0.0648866390352,0.0
31.0,1.51513197893,0.063670570128,0.0267179556079
32.0,1.68069226345,0.0587771959141,0.036735806526
33.0,1.74042255658,0.0521032156087,0.124510600998
34.0,1.62953399128,0.0511377986726,0.148618735087
35.0,1.60887391586,0.071392758063,0.199570198087
36.0,1.39217065099,0.0946305599031,0.230937007557
37.0,1.4336851183,0.10066566429,0.262568121616
38.0,1.42937069283,0.112390396568,0.239076313467
39.0,1.56755434814,0.1166117638,0.198736235864
40.0,1.62297670024,0.132348574943,0.100637401463
41.0,1.76094283135,0.15444529248,0.0202015622773
42.0,1.90758052693,0.180161203012,0.0
43.0,1.91027448694,0.27120044798,0.0
44.0,1.92868147085,0.287977446158,0.0
45.0,1.7748879529,0.298474298365,0.0
46.0,1.54353708889,0.301376085743,0.0
47.0,1.27647759033,0.296292783043,0.0
48.0,0.862392635317,0.281458128659,0.0
49.0,0.920610513979,0.343194771481,0.0
50.0,1.0509041842,0.394350477164,0.0
