HOUR,TOTALLOAD,PRICE,WIND
0,86.37012428810402,76718.18862275449,0.2649813160772876
1,85.36862507771168,67076.19760479042,0.2640471199416697
2,84.67527947051698,68258.45808383233,0.2538279256288734
3,84.40578379233035,67286.37724550898,0.2466961356179365
4,84.60268025727864,67522.82934131737,0.2409770324462267
5,85.2678185268457,68205.91317365269,0.236824416697047
6,86.85260848614787,73486.67664670658,0.2291799580751002
7,88.58472398263305,98629.41616766466,0.2109574371126503
8,89.48578657445617,100862.57485029938,0.2114416241341596
9,90.41080228249425,111923.27844311376,0.197502734232592
10,90.97800097649515,114419.16167664668,0.1796162960262486
11,90.82817839630904,106957.7844311377,0.1615817535545023
12,90.10542317152226,99916.76646706586,0.1528436018957345
13,88.64298831937211,91667.21556886226,0.1468396828290193
14,87.21726924767496,80291.24251497006,0.1424478217280349
15,86.35153519019204,74590.11976047904,0.1425845333576376
16,87.03313544696474,80370.05988023953,0.148594148742253
17,90.92167878431408,111135.10479041917,0.1580329475027342
18,96.01000504311692,161578.21856287422,0.1742560608822456
19,97.24372925279776,144422.30538922152,0.1900747356908494
20,96.67653055879686,129315.6437125748,0.1961925811155668
21,95.5819008926962,112448.72754491016,0.2114985873131607
22,93.45155327875332,110557.11077844308,0.2287185563251913
23,90.73597277134265,92297.75449101796,0.2528082847247539
24,88.59166021319722,99732.85928143712,0.3128873496172074
25,87.40038573456914,89749.32634730538,0.3322491341596791
26,86.93491842217605,88724.70059880239,0.3472874134159678
27,86.91586690889312,90773.95209580836,0.3799159223477943
28,87.84504435526969,100468.48802395209,0.39896440940576
29,90.02561027849717,106511.15269461076,0.4157457619394822
30,94.0888541429895,122616.16766467063,0.4897637167335034
31,98.88539630272616,213387.5,0.5042038826102807
32,101.13902385456292,187351.497005988,0.5220333576376229
33,101.17943895798352,176579.79041916164,0.533386119212541
34,100.54047339841192,142924.77544910178,0.5352829930732774
35,99.17264873115708,124612.87425149698,0.5334772602989427
36,97.34185379451228,106143.33832335328,0.5391052223842508
37,95.79895866781771,83417.66467065866,0.5551517499088588
38,94.532495449874,69177.99401197604,0.5736419978126138
39,93.48817657613216,63792.14071856287,0.5986317444403937
40,93.70329220669568,65342.21556886229,0.6156523423259205
41,96.5878392906496,102517.73952095809,0.627711447320452
42,100.72886142053486,171036.30239520952,0.6317786183011301
43,101.21828184914288,138905.08982035925,0.630781762668611
44,100.1976386423934,127607.9341317365,0.629067170980678
45,98.3666587396002,110346.93113772452,0.620522694130514
46,95.15139218234656,100704.94011976047,0.6076091414509661
47,91.16463182020853,67155.01497005988,0.5958291560335398
48,88.39624347743595,70596.70658682635,0.602921071819176
49,86.6687521346602,64396.407185628734,0.603177406124681
50,85.50781210436608,65447.305389221554,0.5990190940576011
51,84.99591828873014,66051.57185628742,0.5886290102078017
52,85.32478810054612,72540.86826347305,0.5705432008749544
53,87.08742301151366,84757.55988023951,0.5576524334670069
54,91.09231005619274,119463.4730538922,0.5404780349981771
55,96.05069759576008,188849.02694610777,0.5276727123587313
56,97.70346261459116,181177.4700598802,0.4978695771053591
